epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,33.0923,0.64664,0.73649,1,0.57997,0.00053344,0.00053344,0.00053344
2,65.8642,0.58409,0.75676,1,0.5656,0.00107282,0.00107282,0.00107282
3,95.0384,0.5959,0.81081,1,0.49864,0.00160131,0.00160131,0.00160131
4,122.357,0.59573,0.73649,1,0.57768,0.00161749,0.00161749,0.00161749
5,149.249,0.59353,0.88514,1,0.47365,0.00160099,0.00160099,0.00160099
6,176.931,0.58406,0.73649,1,0.6396,0.00158448,0.00158448,0.00158448
7,204.517,0.55978,0.85135,1,0.38586,0.00156798,0.00156798,0.00156798
8,231.65,0.50178,0.93243,1,0.25577,0.00155148,0.00155148,0.00155148
9,259.586,0.52289,0.89865,1,0.30591,0.00153497,0.00153497,0.00153497
10,286.536,0.53017,0.95946,1,0.2813,0.00151847,0.00151847,0.00151847
11,313.615,0.50246,0.95946,1,0.21113,0.00150197,0.00150197,0.00150197
12,340.57,0.48918,0.9527,1,0.23478,0.00148546,0.00148546,0.00148546
13,367.759,0.47255,0.96622,1,0.22857,0.00146896,0.00146896,0.00146896
14,394.925,0.4527,0.97297,1,0.18336,0.00145246,0.00145246,0.00145246
15,422.044,0.48447,0.95946,1,0.25261,0.00143595,0.00143595,0.00143595
16,449.144,0.44155,0.97297,1,0.15546,0.00141945,0.00141945,0.00141945
17,475.979,0.40812,0.97297,1,0.13426,0.00140295,0.00140295,0.00140295
18,502.895,0.43295,0.97297,1,0.17724,0.00138644,0.00138644,0.00138644
19,529.873,0.41907,0.96622,1,0.16342,0.00136994,0.00136994,0.00136994
20,556.97,0.45915,0.91892,1,0.21103,0.00135344,0.00135344,0.00135344
21,584.074,0.42366,0.96622,1,0.16098,0.00133693,0.00133693,0.00133693
22,610.846,0.38395,0.96622,1,0.11074,0.00132043,0.00132043,0.00132043
23,637.877,0.39201,0.9527,1,0.12533,0.00130393,0.00130393,0.00130393
24,665.012,0.36836,0.96622,1,0.15763,0.00128742,0.00128742,0.00128742
25,693.093,0.37164,0.96622,1,0.12048,0.00127092,0.00127092,0.00127092
26,720.882,0.35649,0.94595,1,0.15275,0.00125442,0.00125442,0.00125442
27,748.736,0.36924,0.96622,1,0.1107,0.00123791,0.00123791,0.00123791
28,775.853,0.372,0.97973,1,0.10438,0.00122141,0.00122141,0.00122141
29,803.516,0.35898,0.93243,1,0.14774,0.00120491,0.00120491,0.00120491
30,830.619,0.39492,0.83784,1,0.25128,0.0011884,0.0011884,0.0011884
31,857.569,0.37671,0.97297,1,0.09346,0.0011719,0.0011719,0.0011719
32,884.612,0.36238,0.96622,1,0.09721,0.0011554,0.0011554,0.0011554
33,911.818,0.30463,0.96622,1,0.0936,0.00113889,0.00113889,0.00113889
34,938.937,0.35147,0.96622,1,0.12254,0.00112239,0.00112239,0.00112239
35,966.15,0.37756,0.95946,1,0.11567,0.00110589,0.00110589,0.00110589
36,993.611,0.36327,0.97297,1,0.10113,0.00108938,0.00108938,0.00108938
37,1021.93,0.36952,0.97297,1,0.09505,0.00107288,0.00107288,0.00107288
38,1050.19,0.36161,0.96622,1,0.09955,0.00105638,0.00105638,0.00105638
39,1078.71,0.34262,0.96622,1,0.10927,0.00103987,0.00103987,0.00103987
40,1106.94,0.31999,0.96622,1,0.12633,0.00102337,0.00102337,0.00102337
41,1135.12,0.33046,0.96622,1,0.11918,0.00100687,0.00100687,0.00100687
42,1163.98,0.35145,0.97297,1,0.11988,0.000990365,0.000990365,0.000990365
43,1191.24,0.29254,0.97297,1,0.09637,0.000973861,0.000973861,0.000973861
44,1218.14,0.32788,0.97297,1,0.10786,0.000957358,0.000957358,0.000957358
45,1244.89,0.36356,0.97297,1,0.10689,0.000940855,0.000940855,0.000940855
46,1271.77,0.27278,0.97973,1,0.10446,0.000924352,0.000924352,0.000924352
47,1298.98,0.30541,0.96622,1,0.09625,0.000907848,0.000907848,0.000907848
48,1325.74,0.32413,0.96622,1,0.0949,0.000891345,0.000891345,0.000891345
49,1352.35,0.31392,0.96622,1,0.10226,0.000874842,0.000874842,0.000874842
50,1379.02,0.31779,0.97297,1,0.1105,0.000858338,0.000858338,0.000858338
51,1406.11,0.31929,0.96622,1,0.11795,0.000841835,0.000841835,0.000841835
52,1433.15,0.29352,0.97297,1,0.09245,0.000825332,0.000825332,0.000825332
53,1460.19,0.31188,0.97297,1,0.08973,0.000808828,0.000808828,0.000808828
54,1487.3,0.30217,0.96622,1,0.10304,0.000792325,0.000792325,0.000792325
55,1514.3,0.28904,0.97297,1,0.1149,0.000775822,0.000775822,0.000775822
56,1541.24,0.29952,0.96622,1,0.0867,0.000759318,0.000759318,0.000759318
