epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,34.5213,0.68162,0.73649,1,0.59573,0.00053344,0.00053344,0.00053344
2,65.2012,0.63329,0.72297,1,0.59168,0.0010621,0.0010621,0.0010621
3,93.4797,0.60069,0.72973,1,0.60092,0.00156897,0.00156897,0.00156897
4,129.313,0.58476,0.73649,1,0.5794,0.00156798,0.00156798,0.00156798
5,157.569,0.60167,0.73649,1,0.58157,0.00153497,0.00153497,0.00153497
6,185.583,0.58445,0.73649,1,0.58116,0.00150197,0.00150197,0.00150197
7,213.377,0.58217,0.73649,1,0.57341,0.00146896,0.00146896,0.00146896
8,240.957,0.58302,0.73649,1,0.58002,0.00143595,0.00143595,0.00143595
9,268.994,0.57991,0.73649,1,0.57262,0.00140295,0.00140295,0.00140295
10,296.965,0.58612,0.73649,1,0.57882,0.00136994,0.00136994,0.00136994
11,324.98,0.59231,0.73649,1,0.58264,0.00133693,0.00133693,0.00133693
12,353.13,0.58595,0.73649,1,0.57305,0.00130393,0.00130393,0.00130393
13,381.32,0.58676,0.73649,1,0.57996,0.00127092,0.00127092,0.00127092
14,409.506,0.58487,0.73649,1,0.57237,0.00123791,0.00123791,0.00123791
15,437.881,0.58439,0.73649,1,0.57197,0.00120491,0.00120491,0.00120491
16,466.249,0.58668,0.73649,1,0.57625,0.0011719,0.0011719,0.0011719
17,494.64,0.58273,0.73649,1,0.58054,0.00113889,0.00113889,0.00113889
18,522.891,0.58304,0.73649,1,0.57959,0.00110589,0.00110589,0.00110589
19,551.011,0.58213,0.73649,1,0.57992,0.00107288,0.00107288,0.00107288
20,579.149,0.58955,0.73649,1,0.58387,0.00103987,0.00103987,0.00103987
21,607.108,0.59356,0.73649,1,0.57327,0.00100687,0.00100687,0.00100687
22,634.86,0.58888,0.73649,1,0.57803,0.000973861,0.000973861,0.000973861
23,662.48,0.58819,0.73649,1,0.57214,0.000940855,0.000940855,0.000940855
24,690.162,0.58048,0.73649,1,0.5721,0.000907848,0.000907848,0.000907848
25,718.056,0.58089,0.73649,1,0.57324,0.000874842,0.000874842,0.000874842
26,745.824,0.58369,0.73649,1,0.57199,0.000841835,0.000841835,0.000841835
27,773.857,0.57968,0.73649,1,0.57203,0.000808828,0.000808828,0.000808828
28,802.264,0.58592,0.73649,1,0.57331,0.000775822,0.000775822,0.000775822
29,830.394,0.57685,0.73649,1,0.57972,0.000742815,0.000742815,0.000742815
30,858.779,0.57971,0.73649,1,0.57648,0.000709809,0.000709809,0.000709809
31,887.005,0.58717,0.73649,1,0.57991,0.000676802,0.000676802,0.000676802
32,915.462,0.57572,0.73649,1,0.59428,0.000643795,0.000643795,0.000643795
33,943.541,0.5816,0.73649,1,0.57626,0.000610789,0.000610789,0.000610789
34,971.502,0.58938,0.73649,1,0.56814,0.000577782,0.000577782,0.000577782
35,999.576,0.58047,0.73649,1,0.58031,0.000544776,0.000544776,0.000544776
36,1027.84,0.59223,0.73649,1,0.56388,0.000511769,0.000511769,0.000511769
37,1055.96,0.58131,0.73649,1,0.56765,0.000478762,0.000478762,0.000478762
38,1083.99,0.58119,0.73649,1,0.5923,0.000445756,0.000445756,0.000445756
39,1112.15,0.57686,0.73649,1,0.56835,0.000412749,0.000412749,0.000412749
40,1141.96,0.5774,0.73649,1,0.58294,0.000379743,0.000379743,0.000379743
41,1172.94,0.57497,0.73649,1,0.56771,0.000346736,0.000346736,0.000346736
42,1200.81,0.57798,0.73649,1,0.58755,0.000313729,0.000313729,0.000313729
43,1228.26,0.57517,0.73649,1,0.57702,0.000280723,0.000280723,0.000280723
44,1255.46,0.57905,0.73649,1,0.56187,0.000247716,0.000247716,0.000247716
45,1282.76,0.57441,0.73649,1,0.57126,0.00021471,0.00021471,0.00021471
46,1309.74,0.57455,0.73649,1,0.57441,0.000181703,0.000181703,0.000181703
47,1337.48,0.58253,0.73649,1,0.56297,0.000148696,0.000148696,0.000148696
48,1365.74,0.57023,0.73649,1,0.56343,0.00011569,0.00011569,0.00011569
49,1394.13,0.56377,0.73649,1,0.55462,8.26832e-05,8.26832e-05,8.26832e-05
50,1421.69,0.56741,0.73649,1,0.55786,4.96766e-05,4.96766e-05,4.96766e-05
