epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.4012,0.68162,0.73649,1,0.59573,0.00053344,0.00053344,0.00053344
2,65.1742,0.63147,0.73649,1,0.56676,0.00107282,0.00107282,0.00107282
3,98.6331,0.61359,0.72973,1,0.62757,0.00160131,0.00160131,0.00160131
4,131.371,0.61068,0.73649,1,0.58655,0.00161749,0.00161749,0.00161749
5,165.198,0.5951,0.73649,1,0.58298,0.00160099,0.00160099,0.00160099
6,198.261,0.58424,0.73649,1,0.58011,0.00158448,0.00158448,0.00158448
7,227.635,0.58271,0.73649,1,0.57306,0.00156798,0.00156798,0.00156798
8,257.24,0.58211,0.73649,1,0.58051,0.00155148,0.00155148,0.00155148
9,286.483,0.58304,0.73649,1,0.5727,0.00153497,0.00153497,0.00153497
10,318.273,0.58774,0.73649,1,0.57704,0.00151847,0.00151847,0.00151847
11,353.475,0.59122,0.73649,1,0.58195,0.00150197,0.00150197,0.00150197
12,387.402,0.58259,0.73649,1,0.57443,0.00148546,0.00148546,0.00148546
13,418.296,0.58765,0.73649,1,0.57984,0.00146896,0.00146896,0.00146896
14,447.74,0.58505,0.73649,1,0.57207,0.00145246,0.00145246,0.00145246
15,478.68,0.58148,0.73649,1,0.57177,0.00143595,0.00143595,0.00143595
16,511.393,0.58845,0.73649,1,0.57667,0.00141945,0.00141945,0.00141945
17,543.763,0.58137,0.73649,1,0.57986,0.00140295,0.00140295,0.00140295
18,576.319,0.58848,0.73649,1,0.57956,0.00138644,0.00138644,0.00138644
19,608.296,0.58573,0.73649,1,0.58112,0.00136994,0.00136994,0.00136994
20,640.564,0.58616,0.73649,1,0.58331,0.00135344,0.00135344,0.00135344
21,672.035,0.59329,0.73649,1,0.57525,0.00133693,0.00133693,0.00133693
22,703.818,0.59108,0.73649,1,0.57642,0.00132043,0.00132043,0.00132043
23,735.464,0.59263,0.73649,1,0.5729,0.00130393,0.00130393,0.00130393
24,767.023,0.58357,0.73649,1,0.57334,0.00128742,0.00128742,0.00128742
25,799.794,0.58102,0.73649,1,0.5751,0.00127092,0.00127092,0.00127092
26,829.583,0.58834,0.73649,1,0.57307,0.00125442,0.00125442,0.00125442
27,861.282,0.58009,0.73649,1,0.57306,0.00123791,0.00123791,0.00123791
28,895.488,0.58555,0.73649,1,0.57405,0.00122141,0.00122141,0.00122141
29,931.407,0.57791,0.73649,1,0.5799,0.00120491,0.00120491,0.00120491
30,965.466,0.58435,0.73649,1,0.5767,0.0011884,0.0011884,0.0011884
31,1000.08,0.58803,0.73649,1,0.57936,0.0011719,0.0011719,0.0011719
32,1035.13,0.57748,0.73649,1,0.59457,0.0011554,0.0011554,0.0011554
33,1068.32,0.58275,0.73649,1,0.56969,0.00113889,0.00113889,0.00113889
34,1095.67,0.58229,0.73649,1,0.56857,0.00112239,0.00112239,0.00112239
35,1122.1,0.58246,0.73649,1,0.57969,0.00110589,0.00110589,0.00110589
36,1148.57,0.59941,0.73649,1,0.56734,0.00108938,0.00108938,0.00108938
37,1174.59,0.58918,0.73649,1,0.56313,0.00107288,0.00107288,0.00107288
38,1200.82,0.59212,0.73649,1,0.59509,0.00105638,0.00105638,0.00105638
39,1229.43,0.58472,0.73649,1,0.57037,0.00103987,0.00103987,0.00103987
40,1257.43,0.58851,0.73649,1,0.58429,0.00102337,0.00102337,0.00102337
41,1284.41,0.58534,0.73649,1,0.56605,0.00100687,0.00100687,0.00100687
42,1311.54,0.56649,0.72297,1,0.57625,0.000990365,0.000990365,0.000990365
43,1337.77,0.56881,0.73649,1,0.56485,0.000973861,0.000973861,0.000973861
44,1364.77,0.5802,0.73649,1,0.56663,0.000957358,0.000957358,0.000957358
45,1391.74,0.57177,0.73649,1,0.58221,0.000940855,0.000940855,0.000940855
46,1419.71,0.5757,0.73649,1,0.57661,0.000924352,0.000924352,0.000924352
47,1446.76,0.57071,0.73649,1,0.58725,0.000907848,0.000907848,0.000907848
48,1473.9,0.57284,0.73649,1,0.5695,0.000891345,0.000891345,0.000891345
49,1501,0.56995,0.73649,1,0.5638,0.000874842,0.000874842,0.000874842
